from:START_ID,to:END_ID,:TYPE
131078,0,IS
11,0,IS
13,0,IS
16,0,IS
19,0,IS
131092,0,IS
23,0,IS
31,0,IS
131103,0,IS
131105,0,IS
131112,0,IS
131115,0,IS
46,0,IS
131124,0,IS
131131,0,IS
60,0,IS
63,0,IS
64,0,IS
65,0,IS
67,0,IS
68,0,IS
131140,0,IS
70,0,IS
131141,0,IS
131147,0,IS
76,0,IS
77,0,IS
78,0,IS
81,0,IS
84,0,IS
85,0,IS
92,0,IS
96,0,IS
104,0,IS
108,0,IS
110,0,IS
131188,0,IS
117,0,IS
118,0,IS
121,0,IS
131196,0,IS
131197,0,IS
126,0,IS
131198,0,IS
131200,0,IS
132,0,IS
133,0,IS
135,0,IS
131209,0,IS
139,0,IS
145,0,IS
146,0,IS
149,0,IS
151,0,IS
131224,0,IS
155,0,IS
157,0,IS
131236,0,IS
165,0,IS
169,0,IS
170,0,IS
171,0,IS
172,0,IS
131244,0,IS
176,0,IS
131248,0,IS
180,0,IS
184,0,IS
185,0,IS
186,0,IS
131265,0,IS
194,0,IS
131266,0,IS
131268,0,IS
131270,0,IS
199,0,IS
131271,0,IS
131276,0,IS
206,0,IS
131285,0,IS
222,0,IS
131297,0,IS
131299,0,IS
131300,0,IS
131302,0,IS
237,0,IS
240,0,IS
242,0,IS
243,0,IS
244,0,IS
248,0,IS
131320,0,IS
131322,0,IS
252,0,IS
131329,0,IS
258,0,IS
131330,0,IS
131332,0,IS
131333,0,IS
269,0,IS
270,0,IS
131342,0,IS
272,0,IS
273,0,IS
275,0,IS
279,0,IS
280,0,IS
281,0,IS
131358,0,IS
291,0,IS
293,0,IS
295,0,IS
296,0,IS
297,0,IS
301,0,IS
302,0,IS
305,0,IS
312,0,IS
131389,0,IS
328,0,IS
331,0,IS
335,0,IS
338,0,IS
343,0,IS
345,0,IS
347,0,IS
348,0,IS
353,0,IS
131431,0,IS
131434,0,IS
131435,0,IS
375,0,IS
131451,0,IS
380,0,IS
382,0,IS
131457,0,IS
386,0,IS
387,0,IS
391,0,IS
131463,0,IS
131464,0,IS
395,0,IS
396,0,IS
131467,0,IS
131468,0,IS
131469,0,IS
131470,0,IS
401,0,IS
131471,0,IS
131473,0,IS
131474,0,IS
131476,0,IS
131479,0,IS
408,0,IS
131481,0,IS
410,0,IS
414,0,IS
131486,0,IS
417,0,IS
131490,0,IS
131492,0,IS
131494,0,IS
131511,0,IS
131517,0,IS
452,0,IS
131525,0,IS
131527,0,IS
457,0,IS
459,0,IS
462,0,IS
131534,0,IS
464,0,IS
131535,0,IS
131536,0,IS
131537,0,IS
131539,0,IS
131540,0,IS
470,0,IS
131541,0,IS
131543,0,IS
473,0,IS
131545,0,IS
484,0,IS
131558,0,IS
489,0,IS
493,0,IS
494,0,IS
131571,0,IS
131573,0,IS
131574,0,IS
131575,0,IS
131576,0,IS
131577,0,IS
515,0,IS
517,0,IS
519,0,IS
131593,0,IS
